"about us","Acerca de Nosotros"
"SIZE GUIDE","GUIA DE TAMAÑOS"
"Cart","Carrito"
"Shop By","Compre por"
"Sort By","Ordenado por"
"%s was added to your shopping cart.","%s añadido a su carrito de compras."
"Thank you for your subscription.","Gracias por tu suscripción."
"This email address is already assigned to another user.","Esta dirección de correo electrónico ya está asignado a otro usuario."
"Update Cart","Actualizar Cesta"
"Please enter your email address below. You will receive a link to reset your password.","Por favor, introduzca su dirección de correo electrónico a continuación. Usted recibirá un enlace para restablecer tu contraseña.", "Por favor, introduzca su dirección de correo electrónico a continuación. Usted recibirá un enlace para restablecer tu contraseña."
"Log In","Ingresar"
"Special Price","Precio especial"
"RMA","Devoluciones"
"You have no RMA requests","No tienes solicitudes de devolución"
"Our Featured Products","Productos Destacados"
"Request New RMA","Solicitar Cambio o Devolución"
"You have no completed orders to request RMA or your orders were placed more than %s days ago","No tienes ordenes completas para Devolución o Cambio o tus órdenes ya pasaron los %s dias."
"If there is an account associated with %s you will receive an email with a link to reset your password.","Si hay una cuenta asociada con %s tu vas a recibir un email con un link para restablecer tu password."
"Request RMA","Devoluciones"
"Request Information","Información de su devolución"
"No order selected","No hay orden seleccionada"
"Request Type","Motivo"
"Submit Request","Solicitar devolución"
"Please select order","Por favor seleccione una orden"
"Replacement","Reemplazo"
"Your RMA is currently waiting for approval","Tu devolución esta actualmente esperando ser aprobado"
"New RMA request has been successfully added","Una nueva solicitud de devolución ha sido agregado exitosamente"
"Your order has been received.","Tu orden ha sido recibida."
"Your order # is: %s.","Tu orden # es: %s."
"Last Ordered Items","Items de las últimas ordenes"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","Ya existe una cuenta con esta dirección de correo electrónico. Si está seguro que es su dirección de correo electrónico, <a href=""%s"">haga clic aquí</a>  para obtener su contraseña y acceder a su cuenta."
"Card Identity","Cédula de Identidad"
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Por favor, use sólo números en este campo. Evite espacios u otros caracteres, tales como guiones o puntos."
"The card identity is invalid, please try again.","La cedula de identidad es inválida, por favor intenta nuevamente."
"Card Identity is a required field.","El campo cédula de identidad es requerido."
"Card Identity must contain only digits","La cédula identidad debera contener solo números"
"Card Identity must contain between 7 and 8 digits","La cédula identidad debera contener entre 7 y 8 digitos"
"Enter the digit control for validation","Ingresa el dígito de control para su validación"
"Card Identity must contain 8 digits","La cédula identidad debera contener 8 números"
"Only %s left","Solo quedan %s"
"Email Address ","Dirección de email "
"Email ","Dirección de email "
"Password ","Contraseña"
"Create New Account","Crear cuenta"
"Sign in with","Registrarse con"
"Sign in","Clientes Registrados"
"First Name ","Nombre"
"Last Name ","Appellido"
"First Name ","Nombre"
"New Password ","Nueva Contraseña"
"Back to Form Login","Regresar al formulario de identificacion"
"Please enter your email below and we will send you a new password.","Por favor ingresa tu correo electrónico y nosotros te enviaremos una nueva contraseña."
"Send Password","Enviar Contraseña"
"This customer email already exists","Ya existe una dirección de correo para este cliente"